week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 13943, 8003, 5940, 59982.81591941795, 72, 42, 30, 307.79506302439404, 43
1, 14029, 8049, 5980, 60305.64208406552, 86, 46, 40, 322.82616464756694, 47
1, 14095, 8085, 6010, 60605.9690723427, 66, 36, 30, 300.32698827717985, 37
51, 14181, 8121, 6060, 60927.79523699026, 86, 36, 50, 321.82616464756694, 37
1, 14216, 8156, 6060, 61183.02516490004, 35, 35, 0, 255.22992790977875, 35
1, 14246, 8186, 6060, 61428.059896832114, 30, 30, 0, 245.0347319320716, 30
1, 14355, 8225, 6130, 61771.174528331685, 109, 39, 70, 343.114631499574, 41
1, 14401, 8271, 6130, 62045.803597045706, 46, 46, 0, 274.6290687140218, 46
51, 14486, 8306, 6180, 62366.540624716785, 85, 35, 50, 320.73702767108114, 36
1, 14568, 8348, 6220, 62684.96229456024, 82, 42, 40, 318.42166984345636, 43
1, 14611, 8391, 6220, 62954.637254763344, 43, 43, 0, 269.6749602031015, 43
51, 14736, 8436, 6300, 63311.20740725155, 125, 45, 80, 356.57015248821097, 47
1, 14782, 8482, 6300, 63585.836475965574, 46, 46, 0, 274.6290687140218, 46
1, 14864, 8524, 6340, 63904.25814580903, 82, 42, 40, 318.42166984345636, 43
1, 14908, 8568, 6340, 64175.60910349917, 44, 44, 0, 271.35095769013947, 44
51, 15028, 8598, 6430, 64526.78419546386, 120, 30, 90, 351.1750919646873, 32
1, 15103, 8643, 6460, 64838.16729110213, 75, 45, 30, 311.38309563827124, 46
1, 15148, 8688, 6460, 65111.16929751327, 45, 45, 0, 273.00200641113514, 45
51, 15241, 8731, 6510, 65440.41157742042, 93, 43, 50, 329.24227990714814, 44
1, 15317, 8777, 6540, 65752.97074979414, 76, 46, 30, 312.5591723737189, 47
1, 15397, 8817, 6580, 66069.14050603838, 80, 40, 40, 316.1697562442441, 41
1, 15429, 8849, 6580, 66318.38192903892, 32, 32, 0, 249.24142300054422, 32
1, 15474, 8894, 6580, 66591.38393545005, 45, 45, 0, 273.00200641113514, 45
51, 15574, 8944, 6630, 66927.71170146689, 100, 50, 50, 336.327766016838, 51
1, 15646, 8986, 6660, 67235.50676449129, 72, 42, 30, 307.79506302439404, 43
1, 15728, 9028, 6700, 67553.92843433475, 82, 42, 40, 318.42166984345636, 43
1, 15770, 9070, 6700, 67821.90142383694, 42, 42, 0, 267.97298950218305, 42
1, 15812, 9112, 6700, 68089.87441333913, 42, 42, 0, 267.97298950218305, 42
51, 15902, 9152, 6750, 68415.98144216323, 90, 40, 50, 326.1070288241023, 41
1, 16002, 9182, 6820, 68750.40920818008, 100, 30, 70, 334.42776601683795, 32
1, 16034, 9214, 6820, 68999.65063118062, 32, 32, 0, 249.24142300054422, 32
51, 16127, 9257, 6870, 69328.89291108777, 93, 43, 50, 329.24227990714814, 44
1, 16206, 9306, 6900, 69644.9236612179, 79, 49, 30, 316.03075013013313, 50
1, 16288, 9348, 6940, 69963.34533106135, 82, 42, 40, 318.42166984345636, 43
1, 16355, 9385, 6970, 70264.94588631898, 67, 37, 30, 301.6005552576305, 38
51, 16447, 9427, 7020, 70593.14998778723, 92, 42, 50, 328.20410146824725, 43
1, 16520, 9460, 7060, 70901.1512663564, 73, 33, 40, 308.00127856917646, 34
1, 16582, 9492, 7090, 71196.25789268607, 62, 32, 30, 295.1066263296683, 33
1, 16627, 9537, 7090, 71469.2598990972, 45, 45, 0, 273.00200641113514, 45
1, 16662, 9572, 7090, 71724.48982700698, 35, 35, 0, 255.22992790977875, 35
51, 16744, 9604, 7140, 72041.91149685044, 82, 32, 50, 317.42166984345636, 33
1, 16816, 9636, 7180, 72348.70655987484, 72, 32, 40, 306.79506302439404, 33
1, 16856, 9676, 7180, 72613.19324581143, 40, 40, 0, 264.4866859365871, 40
